# started 2026-08-31 21:19:10
# cached: delta=0.005 N=10 (100 trials reused)
# cached: delta=0.010 N=10 (100 trials reused)
# cached: delta=0.015 N=10 (100 trials reused)
# cached: delta=0.020 N=10 (100 trials reused)
# cached: delta=0.030 N=10 (100 trials reused)
21:27:30 | delta=0.003 | trial  26 | gates= 204 |  102.5s | overall 626/1000
21:27:31 | delta=0.003 | trial  27 | gates= 206 |   99.6s | overall 627/1000
21:27:31 | delta=0.003 | trial  34 | gates= 212 |   91.3s | overall 628/1000
21:27:34 | delta=0.003 | trial  30 | gates= 206 |   99.6s | overall 629/1000
21:27:35 | delta=0.003 | trial  37 | gates= 208 |   91.5s | overall 630/1000
21:27:36 | delta=0.003 | trial  36 | gates= 208 |   92.9s | overall 631/1000
21:27:37 | delta=0.003 | trial  32 | gates= 210 |  101.0s | overall 632/1000
21:27:38 | delta=0.003 | trial  31 | gates= 208 |  103.0s | overall 633/1000
21:27:38 | delta=0.003 | trial  29 | gates= 208 |  103.9s | overall 634/1000
21:27:39 | delta=0.003 | trial  28 | gates= 208 |  105.7s | overall 635/1000
21:27:40 | delta=0.003 | trial  33 | gates= 206 |  102.7s | overall 636/1000
21:27:44 | delta=0.003 | trial  38 | gates= 208 |   99.9s | overall 637/1000
21:27:45 | delta=0.003 | trial  35 | gates= 208 |  103.8s | overall 638/1000
21:27:49 | delta=0.003 | trial  39 | gates= 206 |  100.8s | overall 639/1000
21:27:49 | delta=0.003 | trial  40 | gates= 204 |  101.0s | overall 640/1000
21:27:58 | delta=0.003 | trial  41 | gates= 202 |   86.9s | overall 641/1000
21:28:18 | delta=0.003 | trial  42 | gates= 206 |   87.4s | overall 642/1000
21:28:30 | delta=0.003 | trial  43 | gates= 204 |   87.5s | overall 643/1000
21:28:34 | delta=0.003 | trial  44 | gates= 208 |   87.7s | overall 644/1000
21:28:40 | delta=0.003 | trial  47 | gates= 208 |   87.3s | overall 645/1000
21:28:52 | delta=0.003 | trial  52 | gates= 206 |   87.3s | overall 646/1000
21:28:53 | delta=0.003 | trial  45 | gates= 212 |  105.1s | overall 647/1000
21:28:54 | delta=0.003 | trial  46 | gates= 202 |  101.4s | overall 648/1000
21:28:57 | delta=0.003 | trial  50 | gates= 206 |   98.1s | overall 649/1000
21:28:58 | delta=0.003 | trial  56 | gates= 204 |   87.4s | overall 650/1000
21:28:59 | delta=0.003 | trial  49 | gates= 210 |  100.3s | overall 651/1000
21:29:00 | delta=0.003 | trial  51 | gates= 208 |  100.1s | overall 652/1000
21:29:00 | delta=0.003 | trial  48 | gates= 206 |  102.1s | overall 653/1000
21:29:07 | delta=0.003 | trial  53 | gates= 206 |  101.3s | overall 654/1000
21:29:11 | delta=0.003 | trial  55 | gates= 202 |  100.5s | overall 655/1000
21:29:12 | delta=0.003 | trial  54 | gates= 206 |  102.2s | overall 656/1000
21:29:13 | delta=0.003 | trial  58 | gates= 206 |   98.3s | overall 657/1000
21:29:15 | delta=0.003 | trial  62 | gates= 208 |   96.1s | overall 658/1000
21:29:18 | delta=0.003 | trial  59 | gates= 208 |  102.0s | overall 659/1000
21:29:19 | delta=0.003 | trial  61 | gates= 204 |  101.1s | overall 660/1000
21:29:19 | delta=0.003 | trial  63 | gates= 208 |   99.9s | overall 661/1000
21:29:20 | delta=0.003 | trial  60 | gates= 208 |  102.9s | overall 662/1000
21:29:20 | delta=0.003 | trial  57 | gates= 214 |  106.2s | overall 663/1000
21:29:21 | delta=0.003 | trial  64 | gates= 212 |  101.0s | overall 664/1000
21:29:23 | delta=0.003 | trial  68 | gates= 208 |   93.2s | overall 665/1000
21:29:24 | delta=0.003 | trial  66 | gates= 204 |   98.7s | overall 666/1000
21:29:25 | delta=0.003 | trial  69 | gates= 204 |   87.0s | overall 667/1000
21:29:27 | delta=0.003 | trial  65 | gates= 206 |  103.2s | overall 668/1000
21:29:30 | delta=0.003 | trial  67 | gates= 204 |  100.8s | overall 669/1000
21:29:57 | delta=0.003 | trial  71 | gates= 206 |   87.4s | overall 670/1000
21:30:00 | delta=0.003 | trial  70 | gates= 214 |  102.6s | overall 671/1000
21:30:01 | delta=0.003 | trial  72 | gates= 206 |   87.7s | overall 672/1000
21:30:08 | delta=0.003 | trial  73 | gates= 204 |   87.4s | overall 673/1000
21:30:20 | delta=0.003 | trial  74 | gates= 204 |   87.1s | overall 674/1000
21:30:26 | delta=0.003 | trial  78 | gates= 214 |   87.4s | overall 675/1000
21:30:34 | delta=0.003 | trial  76 | gates= 206 |  100.7s | overall 676/1000
21:30:36 | delta=0.003 | trial  77 | gates= 214 |   98.2s | overall 677/1000
21:30:37 | delta=0.003 | trial  81 | gates= 204 |   97.0s | overall 678/1000
21:30:37 | delta=0.003 | trial  75 | gates= 200 |  104.1s | overall 679/1000
21:30:40 | delta=0.003 | trial  83 | gates= 212 |   88.6s | overall 680/1000
21:30:41 | delta=0.003 | trial  80 | gates= 208 |  101.5s | overall 681/1000
21:30:43 | delta=0.003 | trial  79 | gates= 206 |  103.9s | overall 682/1000
21:30:49 | delta=0.003 | trial  82 | gates= 206 |  102.6s | overall 683/1000
21:30:52 | delta=0.003 | trial  95 | gates= 210 |   87.1s | overall 684/1000
21:30:55 | delta=0.003 | trial  84 | gates= 210 |  103.2s | overall 685/1000
21:30:56 | delta=0.003 | trial  85 | gates= 208 |  102.4s | overall 686/1000
21:30:57 | delta=0.003 | trial  88 | gates= 204 |   98.4s | overall 687/1000
21:30:59 | delta=0.003 | trial  90 | gates= 208 |  100.0s | overall 688/1000
21:31:00 | delta=0.003 | trial  86 | gates= 212 |  105.0s | overall 689/1000
21:31:00 | delta=0.003 | trial  92 | gates= 208 |   99.4s | overall 690/1000
21:31:01 | delta=0.003 | trial  87 | gates= 206 |  103.0s | overall 691/1000
21:31:01 | delta=0.003 | trial  91 | gates= 206 |  100.9s | overall 692/1000
21:31:02 | delta=0.003 | trial  89 | gates= 204 |  103.2s | overall 693/1000
21:31:02 | delta=0.003 | trial  93 | gates= 210 |   99.6s | overall 694/1000
21:31:05 | delta=0.003 | trial  97 | gates= 204 |   95.4s | overall 695/1000
21:31:06 | delta=0.003 | trial  94 | gates= 214 |  102.3s | overall 696/1000
21:31:10 | delta=0.003 | trial  96 | gates= 208 |  102.9s | overall 697/1000
21:31:25 | delta=0.003 | trial  98 | gates= 206 |   87.5s | overall 698/1000
21:31:29 | delta=0.003 | trial 100 | gates= 208 |   87.6s | overall 699/1000
21:31:33 | delta=0.008 | trial   1 | gates= 186 |   84.9s | overall 700/1000
21:31:36 | delta=0.003 | trial  99 | gates= 204 |   96.1s | overall 701/1000
21:31:51 | delta=0.008 | trial   3 | gates= 182 |   84.8s | overall 702/1000
21:32:00 | delta=0.008 | trial   2 | gates= 186 |  100.1s | overall 703/1000
21:32:06 | delta=0.008 | trial   8 | gates= 184 |   86.3s | overall 704/1000
21:32:16 | delta=0.008 | trial   4 | gates= 186 |  101.4s | overall 705/1000
21:32:16 | delta=0.008 | trial   6 | gates= 182 |   99.8s | overall 706/1000
21:32:17 | delta=0.008 | trial   7 | gates= 186 |   99.2s | overall 707/1000
21:32:17 | delta=0.008 | trial  12 | gates= 180 |   84.5s | overall 708/1000
21:32:18 | delta=0.008 | trial   5 | gates= 180 |  102.8s | overall 709/1000
21:32:21 | delta=0.008 | trial  10 | gates= 184 |   97.6s | overall 710/1000
