# started 2026-09-01 00:19:58
# cached: b=0.50 N=10 (100 trials reused)
00:25:46 | b=0.10 | trial 100 | gates= 236 |   42.7s | overall 299/1000
00:25:49 | b=0.10 | trial  99 | gates= 234 |   47.9s | overall 300/1000
00:25:53 | b=0.15 | trial   1 | gates= 224 |   44.8s | overall 301/1000
00:25:53 | b=0.15 | trial   2 | gates= 226 |   44.1s | overall 302/1000
00:25:53 | b=0.15 | trial   3 | gates= 232 |   42.1s | overall 303/1000
00:25:53 | b=0.15 | trial   4 | gates= 216 |   41.9s | overall 304/1000
00:25:53 | b=0.15 | trial   5 | gates= 232 |   43.7s | overall 305/1000
00:25:53 | b=0.15 | trial  11 | gates= 222 |   41.2s | overall 306/1000
00:25:54 | b=0.15 | trial   7 | gates= 216 |   43.4s | overall 307/1000
00:25:55 | b=0.15 | trial   9 | gates= 224 |   44.1s | overall 308/1000
00:25:57 | b=0.15 | trial  13 | gates= 226 |   43.8s | overall 309/1000
00:25:57 | b=0.15 | trial   8 | gates= 218 |   46.9s | overall 310/1000
00:25:58 | b=0.15 | trial  16 | gates= 224 |   43.3s | overall 311/1000
00:25:58 | b=0.15 | trial  10 | gates= 212 |   46.4s | overall 312/1000
00:25:59 | b=0.15 | trial   6 | gates= 236 |   49.6s | overall 313/1000
00:25:59 | b=0.15 | trial  20 | gates= 228 |   40.6s | overall 314/1000
00:26:00 | b=0.15 | trial  14 | gates= 220 |   46.5s | overall 315/1000
00:26:00 | b=0.15 | trial  17 | gates= 222 |   44.3s | overall 316/1000
00:26:00 | b=0.15 | trial  15 | gates= 232 |   46.5s | overall 317/1000
00:26:01 | b=0.15 | trial  12 | gates= 222 |   49.3s | overall 318/1000
00:26:02 | b=0.15 | trial  18 | gates= 222 |   44.4s | overall 319/1000
00:26:03 | b=0.15 | trial  21 | gates= 234 |   43.7s | overall 320/1000
00:26:05 | b=0.15 | trial  22 | gates= 230 |   44.7s | overall 321/1000
00:26:08 | b=0.15 | trial  19 | gates= 246 |   49.2s | overall 322/1000
00:26:11 | b=0.15 | trial  24 | gates= 236 |   48.7s | overall 323/1000
00:26:11 | b=0.15 | trial  23 | gates= 214 |   48.8s | overall 324/1000
00:26:25 | b=0.15 | trial  25 | gates= 222 |   44.0s | overall 325/1000
00:26:26 | b=0.15 | trial  26 | gates= 222 |   41.5s | overall 326/1000
00:26:30 | b=0.15 | trial  27 | gates= 224 |   44.4s | overall 327/1000
00:26:32 | b=0.15 | trial  32 | gates= 220 |   41.5s | overall 328/1000
00:26:33 | b=0.15 | trial  31 | gates= 224 |   43.3s | overall 329/1000
00:26:34 | b=0.15 | trial  34 | gates= 226 |   41.4s | overall 330/1000
00:26:34 | b=0.15 | trial  33 | gates= 224 |   42.2s | overall 331/1000
00:26:35 | b=0.15 | trial  30 | gates= 218 |   45.4s | overall 332/1000
00:26:38 | b=0.15 | trial  28 | gates= 222 |   49.0s | overall 333/1000
00:26:38 | b=0.15 | trial  29 | gates= 214 |   48.9s | overall 334/1000
00:26:39 | b=0.15 | trial  35 | gates= 210 |   45.2s | overall 335/1000
00:26:39 | b=0.15 | trial  36 | gates= 226 |   44.0s | overall 336/1000
00:26:40 | b=0.15 | trial  37 | gates= 222 |   42.7s | overall 337/1000
00:26:40 | b=0.15 | trial  39 | gates= 216 |   42.6s | overall 338/1000
00:26:41 | b=0.15 | trial  38 | gates= 226 |   43.5s | overall 339/1000
00:26:42 | b=0.15 | trial  45 | gates= 224 |   41.1s | overall 340/1000
00:26:43 | b=0.15 | trial  40 | gates= 202 |   44.7s | overall 341/1000
00:26:43 | b=0.15 | trial  44 | gates= 226 |   42.5s | overall 342/1000
00:26:43 | b=0.15 | trial  47 | gates= 224 |   41.3s | overall 343/1000
00:26:44 | b=0.15 | trial  46 | gates= 230 |   43.1s | overall 344/1000
00:26:44 | b=0.15 | trial  48 | gates= 218 |   41.1s | overall 345/1000
00:26:45 | b=0.15 | trial  42 | gates= 224 |   45.3s | overall 346/1000
00:26:48 | b=0.15 | trial  41 | gates= 222 |   48.9s | overall 347/1000
00:26:49 | b=0.15 | trial  49 | gates= 228 |   44.2s | overall 348/1000
00:26:49 | b=0.15 | trial  43 | gates= 220 |   49.4s | overall 349/1000
00:26:57 | b=0.15 | trial  50 | gates= 230 |   49.3s | overall 350/1000
00:26:57 | b=0.15 | trial  52 | gates= 236 |   46.6s | overall 351/1000
00:26:59 | b=0.15 | trial  51 | gates= 220 |   48.7s | overall 352/1000
00:27:11 | b=0.15 | trial  54 | gates= 216 |   44.8s | overall 353/1000
00:27:13 | b=0.15 | trial  53 | gates= 216 |   47.4s | overall 354/1000
00:27:13 | b=0.15 | trial  55 | gates= 218 |   43.1s | overall 355/1000
00:27:17 | b=0.15 | trial  56 | gates= 218 |   44.9s | overall 356/1000
00:27:17 | b=0.15 | trial  57 | gates= 238 |   43.6s | overall 357/1000
