# started 2026-08-31 23:13:19
23:19:18 | b=1.00 | trial  14 | gates= 226 |   46.7s | overall 215/1000
23:19:20 | b=1.00 | trial  12 | gates= 236 |   48.9s | overall 216/1000
23:19:21 | b=1.00 | trial  17 | gates= 228 |   46.4s | overall 217/1000
23:19:22 | b=1.00 | trial  16 | gates= 228 |   49.4s | overall 218/1000
23:19:26 | b=1.00 | trial  19 | gates= 228 |   45.6s | overall 219/1000
23:19:26 | b=1.00 | trial  20 | gates= 224 |   43.2s | overall 220/1000
23:19:30 | b=1.00 | trial  21 | gates= 224 |   47.2s | overall 221/1000
23:19:34 | b=1.00 | trial  22 | gates= 228 |   45.7s | overall 222/1000
23:19:38 | b=1.00 | trial  24 | gates= 230 |   45.3s | overall 223/1000
23:19:39 | b=1.00 | trial  23 | gates= 224 |   49.5s | overall 224/1000
23:19:41 | b=1.00 | trial  25 | gates= 222 |   43.7s | overall 225/1000
23:19:47 | b=1.00 | trial  26 | gates= 222 |   44.1s | overall 226/1000
23:19:48 | b=1.00 | trial  27 | gates= 228 |   42.2s | overall 227/1000
23:19:50 | b=1.00 | trial  30 | gates= 230 |   42.7s | overall 228/1000
23:19:51 | b=1.00 | trial  29 | gates= 222 |   44.0s | overall 229/1000
23:19:51 | b=1.00 | trial  32 | gates= 230 |   42.6s | overall 230/1000
23:19:51 | b=1.00 | trial  34 | gates= 224 |   42.5s | overall 231/1000
23:19:55 | b=1.00 | trial  28 | gates= 236 |   48.8s | overall 232/1000
23:19:56 | b=1.00 | trial  33 | gates= 220 |   47.3s | overall 233/1000
23:19:56 | b=1.00 | trial  37 | gates= 228 |   42.2s | overall 234/1000
23:19:57 | b=1.00 | trial  31 | gates= 230 |   49.5s | overall 235/1000
23:19:58 | b=1.00 | trial  36 | gates= 234 |   47.7s | overall 236/1000
23:19:59 | b=1.00 | trial  39 | gates= 224 |   43.7s | overall 237/1000
23:20:00 | b=1.00 | trial  38 | gates= 222 |   45.1s | overall 238/1000
23:20:00 | b=1.00 | trial  35 | gates= 236 |   49.6s | overall 239/1000
23:20:01 | b=1.00 | trial  41 | gates= 226 |   44.1s | overall 240/1000
23:20:01 | b=1.00 | trial  44 | gates= 224 |   41.6s | overall 241/1000
23:20:02 | b=1.00 | trial  42 | gates= 226 |   44.1s | overall 242/1000
23:20:02 | b=1.00 | trial  40 | gates= 222 |   46.6s | overall 243/1000
23:20:06 | b=1.00 | trial  45 | gates= 232 |   45.1s | overall 244/1000
23:20:07 | b=1.00 | trial  43 | gates= 222 |   48.9s | overall 245/1000
23:20:08 | b=1.00 | trial  47 | gates= 228 |   42.6s | overall 246/1000
23:20:11 | b=1.00 | trial  46 | gates= 228 |   49.3s | overall 247/1000
23:20:12 | b=1.00 | trial  48 | gates= 232 |   46.3s | overall 248/1000
23:20:12 | b=1.00 | trial  49 | gates= 228 |   42.5s | overall 249/1000
23:20:18 | b=1.00 | trial  50 | gates= 234 |   44.2s | overall 250/1000
23:20:23 | b=1.00 | trial  52 | gates= 222 |   43.8s | overall 251/1000
23:20:24 | b=1.00 | trial  53 | gates= 222 |   42.8s | overall 252/1000
23:20:27 | b=1.00 | trial  51 | gates= 230 |   49.5s | overall 253/1000
23:20:29 | b=1.00 | trial  54 | gates= 224 |   41.3s | overall 254/1000
23:20:31 | b=1.00 | trial  55 | gates= 220 |   42.6s | overall 255/1000
23:20:34 | b=1.00 | trial  59 | gates= 228 |   43.1s | overall 256/1000
23:20:35 | b=1.00 | trial  56 | gates= 238 |   45.2s | overall 257/1000
23:20:35 | b=1.00 | trial  58 | gates= 232 |   44.5s | overall 258/1000
23:20:38 | b=1.00 | trial  57 | gates= 226 |   47.9s | overall 259/1000
23:20:39 | b=1.00 | trial  62 | gates= 222 |   42.8s | overall 260/1000
23:20:40 | b=1.00 | trial  61 | gates= 226 |   43.7s | overall 261/1000
23:20:42 | b=1.00 | trial  60 | gates= 230 |   46.5s | overall 262/1000
23:20:42 | b=1.00 | trial  65 | gates= 222 |   42.8s | overall 263/1000
23:20:45 | b=1.00 | trial  69 | gates= 228 |   43.7s | overall 264/1000
23:20:45 | b=1.00 | trial  70 | gates= 224 |   43.6s | overall 265/1000
23:20:46 | b=1.00 | trial  66 | gates= 234 |   46.1s | overall 266/1000
23:20:46 | b=1.00 | trial  67 | gates= 226 |   45.9s | overall 267/1000
23:20:46 | b=1.00 | trial  63 | gates= 226 |   49.3s | overall 268/1000
23:20:47 | b=1.00 | trial  64 | gates= 232 |   48.9s | overall 269/1000
23:20:48 | b=1.00 | trial  68 | gates= 232 |   46.6s | overall 270/1000
23:20:48 | b=1.00 | trial  71 | gates= 230 |   45.5s | overall 271/1000
23:20:49 | b=1.00 | trial  73 | gates= 224 |   42.6s | overall 272/1000
23:20:52 | b=1.00 | trial  74 | gates= 228 |   44.2s | overall 273/1000
23:20:55 | b=1.00 | trial  72 | gates= 228 |   49.2s | overall 274/1000
23:20:57 | b=1.00 | trial  75 | gates= 226 |   45.9s | overall 275/1000
23:20:58 | b=1.00 | trial  77 | gates= 228 |   46.0s | overall 276/1000
23:21:00 | b=1.00 | trial  76 | gates= 222 |   47.7s | overall 277/1000
23:21:02 | b=1.00 | trial  78 | gates= 232 |   43.4s | overall 278/1000
23:21:05 | b=1.00 | trial  79 | gates= 222 |   42.5s | overall 279/1000
23:21:06 | b=1.00 | trial  80 | gates= 226 |   42.6s | overall 280/1000
23:21:14 | b=1.00 | trial  82 | gates= 224 |   44.9s | overall 281/1000
23:21:16 | b=1.00 | trial  84 | gates= 228 |   42.1s | overall 282/1000
23:21:18 | b=1.00 | trial  81 | gates= 230 |   50.2s | overall 283/1000
23:21:18 | b=1.00 | trial  85 | gates= 222 |   43.1s | overall 284/1000
23:21:19 | b=1.00 | trial  83 | gates= 226 |   47.8s | overall 285/1000
23:21:19 | b=1.00 | trial  86 | gates= 218 |   43.4s | overall 286/1000
23:21:23 | b=1.00 | trial  88 | gates= 220 |   43.4s | overall 287/1000
23:21:25 | b=1.00 | trial  89 | gates= 228 |   45.5s | overall 288/1000
23:21:26 | b=1.00 | trial  91 | gates= 222 |   44.1s | overall 289/1000
23:21:27 | b=1.00 | trial  90 | gates= 228 |   45.3s | overall 290/1000
23:21:28 | b=1.00 | trial  92 | gates= 226 |   42.8s | overall 291/1000
23:21:28 | b=1.00 | trial  87 | gates= 234 |   49.2s | overall 292/1000
23:21:29 | b=1.00 | trial  94 | gates= 228 |   43.7s | overall 293/1000
23:21:31 | b=1.00 | trial 100 | gates= 226 |   41.7s | overall 294/1000
23:21:32 | b=1.00 | trial  93 | gates= 228 |   47.1s | overall 295/1000
23:21:34 | b=1.00 | trial  95 | gates= 224 |   47.9s | overall 296/1000
23:21:34 | b=1.00 | trial  98 | gates= 234 |   46.8s | overall 297/1000
23:21:35 | b=1.00 | trial  99 | gates= 222 |   47.5s | overall 298/1000
23:21:36 | b=1.00 | trial  96 | gates= 226 |   49.4s | overall 299/1000
23:21:37 | b=1.00 | trial  97 | gates= 230 |   49.6s | overall 300/1000
23:21:41 | b=1.20 | trial   1 | gates= 228 |   45.8s | overall 301/1000
23:21:41 | b=1.20 | trial   4 | gates= 224 |   41.7s | overall 302/1000
23:21:41 | b=1.20 | trial   3 | gates= 216 |   43.1s | overall 303/1000
23:21:45 | b=1.20 | trial   5 | gates= 232 |   44.8s | overall 304/1000
23:21:45 | b=1.20 | trial   2 | gates= 224 |   49.4s | overall 305/1000
23:21:46 | b=1.20 | trial   7 | gates= 226 |   40.8s | overall 306/1000
23:21:48 | b=1.20 | trial   6 | gates= 228 |   45.9s | overall 307/1000
23:21:49 | b=1.20 | trial   8 | gates= 236 |   42.9s | overall 308/1000
23:21:57 | b=1.20 | trial   9 | gates= 232 |   43.9s | overall 309/1000
23:22:00 | b=1.20 | trial  10 | gates= 226 |   43.7s | overall 310/1000
23:22:01 | b=1.20 | trial  11 | gates= 224 |   43.7s | overall 311/1000
23:22:03 | b=1.20 | trial  12 | gates= 224 |   44.6s | overall 312/1000
23:22:03 | b=1.20 | trial  14 | gates= 228 |   44.1s | overall 313/1000
23:22:06 | b=1.20 | trial  13 | gates= 228 |   47.3s | overall 314/1000
23:22:07 | b=1.20 | trial  17 | gates= 226 |   41.1s | overall 315/1000
23:22:10 | b=1.20 | trial  16 | gates= 222 |   44.7s | overall 316/1000
23:22:11 | b=1.20 | trial  15 | gates= 226 |   48.8s | overall 317/1000
23:22:12 | b=1.20 | trial  19 | gates= 230 |   43.8s | overall 318/1000
23:22:13 | b=1.20 | trial  18 | gates= 232 |   46.4s | overall 319/1000
23:22:14 | b=1.20 | trial  21 | gates= 222 |   44.7s | overall 320/1000
23:22:15 | b=1.20 | trial  23 | gates= 232 |   42.5s | overall 321/1000
23:22:17 | b=1.20 | trial  20 | gates= 224 |   49.4s | overall 322/1000
23:22:17 | b=1.20 | trial  22 | gates= 234 |   46.5s | overall 323/1000
23:22:19 | b=1.20 | trial  26 | gates= 238 |   43.3s | overall 324/1000
23:22:20 | b=1.20 | trial  25 | gates= 226 |   45.5s | overall 325/1000
23:22:22 | b=1.20 | trial  27 | gates= 220 |   46.4s | overall 326/1000
23:22:23 | b=1.20 | trial  31 | gates= 234 |   43.0s | overall 327/1000
23:22:24 | b=1.20 | trial  24 | gates= 232 |   49.5s | overall 328/1000
23:22:24 | b=1.20 | trial  30 | gates= 226 |   44.3s | overall 329/1000
23:22:24 | b=1.20 | trial  29 | gates= 232 |   46.2s | overall 330/1000
23:22:26 | b=1.20 | trial  28 | gates= 230 |   48.8s | overall 331/1000
23:22:29 | b=1.20 | trial  32 | gates= 222 |   44.8s | overall 332/1000
23:22:31 | b=1.20 | trial  34 | gates= 224 |   44.6s | overall 333/1000
23:22:33 | b=1.20 | trial  36 | gates= 224 |   43.7s | overall 334/1000
23:22:34 | b=1.20 | trial  35 | gates= 230 |   46.4s | overall 335/1000
23:22:34 | b=1.20 | trial  33 | gates= 228 |   49.6s | overall 336/1000
23:22:39 | b=1.20 | trial  37 | gates= 230 |   41.6s | overall 337/1000
23:22:45 | b=1.20 | trial  41 | gates= 230 |   42.6s | overall 338/1000
23:22:46 | b=1.20 | trial  39 | gates= 234 |   44.4s | overall 339/1000
