# started 2026-09-01 10:36:33
# cached: b=0.45, a:2.0->0.0 (p=1.0) (100 trials reused)
# cached: b=0.30, a:2.0->0.0 (p=1.0) (100 trials reused)
10:40:56 | b=0.45, a:1.0->0.0 (p=1.0) | trial  48 | gates= 218 |   45.9s | overall 350/1000
10:40:56 | b=0.45, a:1.0->0.0 (p=1.0) | trial  53 | gates= 216 |   43.1s | overall 351/1000
10:40:57 | b=0.45, a:1.0->0.0 (p=1.0) | trial  51 | gates= 212 |   45.1s | overall 352/1000
10:40:58 | b=0.45, a:1.0->0.0 (p=1.0) | trial  52 | gates= 210 |   45.4s | overall 353/1000
10:40:59 | b=0.45, a:1.0->0.0 (p=1.0) | trial  54 | gates= 214 |   45.5s | overall 354/1000
10:41:00 | b=0.45, a:1.0->0.0 (p=1.0) | trial  57 | gates= 228 |   44.1s | overall 355/1000
10:41:00 | b=0.45, a:1.0->0.0 (p=1.0) | trial  60 | gates= 220 |   42.2s | overall 356/1000
10:41:00 | b=0.45, a:1.0->0.0 (p=1.0) | trial  58 | gates= 216 |   43.2s | overall 357/1000
10:41:01 | b=0.45, a:1.0->0.0 (p=1.0) | trial  61 | gates= 228 |   42.7s | overall 358/1000
10:41:04 | b=0.45, a:1.0->0.0 (p=1.0) | trial  55 | gates= 226 |   49.2s | overall 359/1000
10:41:05 | b=0.45, a:1.0->0.0 (p=1.0) | trial  56 | gates= 220 |   49.7s | overall 360/1000
10:41:06 | b=0.45, a:1.0->0.0 (p=1.0) | trial  59 | gates= 222 |   48.4s | overall 361/1000
10:41:07 | b=0.45, a:1.0->0.0 (p=1.0) | trial  64 | gates= 226 |   42.2s | overall 362/1000
10:41:08 | b=0.45, a:1.0->0.0 (p=1.0) | trial  62 | gates= 218 |   49.0s | overall 363/1000
10:41:10 | b=0.45, a:1.0->0.0 (p=1.0) | trial  63 | gates= 220 |   45.8s | overall 364/1000
10:41:13 | b=0.45, a:1.0->0.0 (p=1.0) | trial  67 | gates= 216 |   43.7s | overall 365/1000
10:41:13 | b=0.45, a:1.0->0.0 (p=1.0) | trial  65 | gates= 216 |   45.6s | overall 366/1000
10:41:17 | b=0.45, a:1.0->0.0 (p=1.0) | trial  66 | gates= 228 |   49.3s | overall 367/1000
10:41:22 | b=0.45, a:1.0->0.0 (p=1.0) | trial  68 | gates= 210 |   49.3s | overall 368/1000
10:41:32 | b=0.45, a:1.0->0.0 (p=1.0) | trial  73 | gates= 210 |   41.5s | overall 369/1000
10:41:33 | b=0.45, a:1.0->0.0 (p=1.0) | trial  71 | gates= 220 |   42.8s | overall 370/1000
10:41:33 | b=0.45, a:1.0->0.0 (p=1.0) | trial  70 | gates= 226 |   45.3s | overall 371/1000
10:41:34 | b=0.45, a:1.0->0.0 (p=1.0) | trial  72 | gates= 226 |   43.9s | overall 372/1000
10:41:37 | b=0.45, a:1.0->0.0 (p=1.0) | trial  69 | gates= 212 |   49.5s | overall 373/1000
10:41:37 | b=0.45, a:1.0->0.0 (p=1.0) | trial  78 | gates= 218 |   41.9s | overall 374/1000
10:41:38 | b=0.45, a:1.0->0.0 (p=1.0) | trial  75 | gates= 210 |   44.4s | overall 375/1000
10:41:38 | b=0.45, a:1.0->0.0 (p=1.0) | trial  77 | gates= 214 |   43.4s | overall 376/1000
10:41:38 | b=0.45, a:1.0->0.0 (p=1.0) | trial  76 | gates= 206 |   43.4s | overall 377/1000
10:41:41 | b=0.45, a:1.0->0.0 (p=1.0) | trial  79 | gates= 226 |   44.7s | overall 378/1000
10:41:41 | b=0.45, a:1.0->0.0 (p=1.0) | trial  74 | gates= 222 |   49.6s | overall 379/1000
10:41:42 | b=0.45, a:1.0->0.0 (p=1.0) | trial  81 | gates= 218 |   44.9s | overall 380/1000
10:41:43 | b=0.45, a:1.0->0.0 (p=1.0) | trial  85 | gates= 214 |   42.3s | overall 381/1000
10:41:43 | b=0.45, a:1.0->0.0 (p=1.0) | trial  83 | gates= 216 |   43.7s | overall 382/1000
10:41:43 | b=0.45, a:1.0->0.0 (p=1.0) | trial  84 | gates= 226 |   43.4s | overall 383/1000
10:41:44 | b=0.45, a:1.0->0.0 (p=1.0) | trial  86 | gates= 218 |   42.9s | overall 384/1000
10:41:46 | b=0.45, a:1.0->0.0 (p=1.0) | trial  80 | gates= 220 |   48.9s | overall 385/1000
10:41:48 | b=0.45, a:1.0->0.0 (p=1.0) | trial  82 | gates= 206 |   48.9s | overall 386/1000
10:41:49 | b=0.45, a:1.0->0.0 (p=1.0) | trial  90 | gates= 220 |   42.1s | overall 387/1000
10:41:50 | b=0.45, a:1.0->0.0 (p=1.0) | trial  89 | gates= 226 |   44.2s | overall 388/1000
10:41:52 | b=0.45, a:1.0->0.0 (p=1.0) | trial  91 | gates= 218 |   43.7s | overall 389/1000
10:41:52 | b=0.45, a:1.0->0.0 (p=1.0) | trial  88 | gates= 220 |   47.4s | overall 390/1000
10:41:53 | b=0.45, a:1.0->0.0 (p=1.0) | trial  92 | gates= 210 |   43.1s | overall 391/1000
10:41:53 | b=0.45, a:1.0->0.0 (p=1.0) | trial  87 | gates= 232 |   49.0s | overall 392/1000
10:41:57 | b=0.45, a:1.0->0.0 (p=1.0) | trial  94 | gates= 226 |   44.3s | overall 393/1000
10:41:57 | b=0.45, a:1.0->0.0 (p=1.0) | trial  93 | gates= 224 |   44.5s | overall 394/1000
10:42:06 | b=0.45, a:1.0->0.0 (p=1.0) | trial  95 | gates= 222 |   49.3s | overall 395/1000
10:42:12 | b=0.45, a:1.0->0.0 (p=1.0) | trial  96 | gates= 218 |   49.6s | overall 396/1000
10:42:15 | b=0.45, a:1.0->0.0 (p=1.0) | trial  97 | gates= 216 |   43.1s | overall 397/1000
10:42:16 | b=0.45, a:1.0->0.0 (p=1.0) | trial  98 | gates= 222 |   42.9s | overall 398/1000
10:42:19 | b=0.45, a:1.0->0.0 (p=1.0) | trial 100 | gates= 214 |   44.6s | overall 399/1000
10:42:19 | b=0.45, a:1.0->0.0 (p=1.0) | trial  99 | gates= 214 |   45.8s | overall 400/1000
10:42:23 | b=0.45, a:2.0->0.0 (p=2.0) | trial   4 | gates= 216 |   41.6s | overall 401/1000
10:42:23 | b=0.45, a:2.0->0.0 (p=2.0) | trial   2 | gates= 228 |   43.7s | overall 402/1000
10:42:23 | b=0.45, a:2.0->0.0 (p=2.0) | trial   5 | gates= 220 |   43.0s | overall 403/1000
10:42:23 | b=0.45, a:2.0->0.0 (p=2.0) | trial   3 | gates= 222 |   44.5s | overall 404/1000
10:42:26 | b=0.45, a:2.0->0.0 (p=2.0) | trial   1 | gates= 220 |   49.4s | overall 405/1000
10:42:27 | b=0.45, a:2.0->0.0 (p=2.0) | trial   8 | gates= 206 |   44.1s | overall 406/1000
10:42:27 | b=0.45, a:2.0->0.0 (p=2.0) | trial   6 | gates= 222 |   46.2s | overall 407/1000
10:42:27 | b=0.45, a:2.0->0.0 (p=2.0) | trial  12 | gates= 218 |   43.1s | overall 408/1000
10:42:28 | b=0.45, a:2.0->0.0 (p=2.0) | trial   9 | gates= 222 |   45.0s | overall 409/1000
10:42:28 | b=0.45, a:2.0->0.0 (p=2.0) | trial  11 | gates= 218 |   44.6s | overall 410/1000
10:42:30 | b=0.45, a:2.0->0.0 (p=2.0) | trial   7 | gates= 214 |   49.0s | overall 411/1000
10:42:32 | b=0.45, a:2.0->0.0 (p=2.0) | trial  10 | gates= 216 |   48.7s | overall 412/1000
10:42:33 | b=0.45, a:2.0->0.0 (p=2.0) | trial  15 | gates= 226 |   44.5s | overall 413/1000
10:42:34 | b=0.45, a:2.0->0.0 (p=2.0) | trial  13 | gates= 222 |   48.1s | overall 414/1000
10:42:34 | b=0.45, a:2.0->0.0 (p=2.0) | trial  16 | gates= 222 |   43.8s | overall 415/1000
10:42:36 | b=0.45, a:2.0->0.0 (p=2.0) | trial  19 | gates= 220 |   43.0s | overall 416/1000
10:42:36 | b=0.45, a:2.0->0.0 (p=2.0) | trial  17 | gates= 218 |   44.5s | overall 417/1000
10:42:37 | b=0.45, a:2.0->0.0 (p=2.0) | trial  18 | gates= 218 |   44.6s | overall 418/1000
10:42:38 | b=0.45, a:2.0->0.0 (p=2.0) | trial  14 | gates= 218 |   49.4s | overall 419/1000
10:42:39 | b=0.45, a:2.0->0.0 (p=2.0) | trial  21 | gates= 214 |   42.0s | overall 420/1000
10:42:41 | b=0.45, a:2.0->0.0 (p=2.0) | trial  22 | gates= 224 |   43.8s | overall 421/1000
10:42:43 | b=0.45, a:2.0->0.0 (p=2.0) | trial  20 | gates= 224 |   49.6s | overall 422/1000
10:42:54 | b=0.45, a:2.0->0.0 (p=2.0) | trial  23 | gates= 210 |   47.5s | overall 423/1000
10:42:59 | b=0.45, a:2.0->0.0 (p=2.0) | trial  26 | gates= 216 |   42.9s | overall 424/1000
10:43:00 | b=0.45, a:2.0->0.0 (p=2.0) | trial  25 | gates= 222 |   44.9s | overall 425/1000
10:43:00 | b=0.45, a:2.0->0.0 (p=2.0) | trial  27 | gates= 218 |   41.3s | overall 426/1000
10:43:02 | b=0.45, a:2.0->0.0 (p=2.0) | trial  24 | gates= 220 |   49.4s | overall 427/1000
10:43:02 | b=0.45, a:2.0->0.0 (p=2.0) | trial  28 | gates= 212 |   43.1s | overall 428/1000
10:43:04 | b=0.45, a:2.0->0.0 (p=2.0) | trial  29 | gates= 222 |   44.3s | overall 429/1000
10:43:04 | b=0.45, a:2.0->0.0 (p=2.0) | trial  30 | gates= 218 |   43.3s | overall 430/1000
10:43:06 | b=0.45, a:2.0->0.0 (p=2.0) | trial  32 | gates= 214 |   43.9s | overall 431/1000
10:43:07 | b=0.45, a:2.0->0.0 (p=2.0) | trial  31 | gates= 214 |   45.6s | overall 432/1000
10:43:11 | b=0.45, a:2.0->0.0 (p=2.0) | trial  34 | gates= 228 |   44.2s | overall 433/1000
